ticker,date,entry,d10,d20,adr,stop_pct,rr10sma,gain10sma_pct,mae10sma_pct,src,split,d10_adr,d20_adr
ALB,2021-05-27,165.95,4.174513496547383,3.2608525780673414,3.682925894747313,1.9523952997890819,0.56,1.1,-2.16,db,1.0,1.1334774621724497,0.8853972822852765
DDOG,2020-07-20,90.0,-0.479358498972593,1.0064165748175924,5.8993631878534725,1.955555555555561,0.41,0.8,-2.11,db,1.0,-0.08125597351923863,0.17059749379217057
TTD,2020-07-31,44.3,2.1139669004716755,0.7432947813075241,4.871016687558898,1.151241534988718,0.52,0.6,-1.29,db,10.0,0.43398884382206593,0.15259540851214473
YINN,2019-10-25,368.59999999999997,-0.08132450489347631,4.918591460034749,2.3393804120102604,1.247965274009769,0.43,0.54,-1.68,db,0.05,-0.03476326657945857,2.10251886986099
AGQ,2022-03-02,39.55,7.106104586941542,12.251124627749043,3.7903009346882808,2.0227560050568827,0.18,0.35,-0.96,db,1.0,1.874812768006759,3.2322300626919986
SEDG,2021-11-11,354.39,0.8629387782413733,6.906913247762203,4.024400023510629,1.997799034961479,0.15,0.29,-2.45,db,1.0,0.2144266904880397,1.7162591212135652
AMC,2021-06-28,562.9999999999999,-1.9556621568308619,7.669799612861339,24.990307340506295,2.735346358792183,0.08,0.23,-3.5,db,0.1,-0.07825682694429963,0.30691097585780835
TAN,2021-02-08,118.23,3.47000380004141,2.7675886985088827,4.212734378779435,0.7527700245284619,0.25,0.19,-0.79,db,1.0,0.823693945082477,0.656957797398739
AMD,2020-08-20,82.46,0.36514230631732314,5.253082009761978,4.77687145949318,1.637157409653158,0.06,0.1,-4.05,db,1.0,0.07643963406042001,1.0996908864529762
TNA,2020-07-15,28.86,9.17344492750316,9.037329147206986,8.41161735643872,9.11295911295911,0.0,-0.03,-2.46,db,1.0,1.0905685005370929,1.0743866208190405
JETS,2021-03-11,27.03,2.9518204961951566,6.108189631277172,3.426286348173095,1.109877913429525,-0.03,-0.04,-1.33,db,1.0,0.8615218333310277,1.7827434751722007
TCEHY,2020-04-14,50.9,3.613230747576379,6.6616376388835885,3.3332997591880265,0.13752455795677862,-1.0,-0.14,-0.16,yf,1.0,1.0839801423849569,1.9985114211589319
ERX,2020-02-05,127.5,-4.680022727336897,-16.24240454558047,4.511258270909082,2.745098039215683,-0.06,-0.16,-2.9,db,0.1,-1.037409619732059,-3.6004155759203296
DDS,2019-10-09,69.53,6.138087253537594,8.544799233383804,5.488294511837749,2.862073924924486,-0.06,-0.16,-3.32,db,1.0,1.118396113819749,1.5569133935785433
SLV,2020-11-05,23.07,3.078504334256116,2.1564889977855106,1.9310141644653334,0.2600780234070166,-1.0,-0.26,-0.3,db,1.0,1.5942422333854314,1.116764981567397
COIN,2021-11-15,349.8,2.5057933487207418,7.2632674449515156,5.163495125748981,0.2658662092624376,-1.0,-0.27,-0.27,db,1.0,0.4852901547684271,1.4066571707856421
GUSH,2021-11-08,30.0925,5.211173173777217,7.290245747957846,6.049121368905548,0.2824624075766415,-1.0,-0.28,-0.28,db,4.0,0.8614760484992651,1.2051743225771732
PBW,2021-11-11,93.02,1.647871859786143,7.4748271762594465,3.042098087895284,2.268329391528703,-0.12,-0.28,-2.68,db,1.0,0.5416892592461556,2.457128915731644
DXCM,2020-06-30,100.0,0.141952317602545,3.7443952504424116,5.163488790020433,0.2900000000000063,-1.0,-0.29,-2.04,db,4.0,0.02749155142486196,0.7251676923709549
AGQ,2021-06-11,54.36,2.707501217503716,3.0130743451993958,3.150175000389545,0.331125827814569,-1.0,-0.33,-0.33,db,1.0,0.8594764472351255,0.956478400351347
SLV,2020-11-13,23.05,1.774990517787467,1.873949790189755,1.896159035286794,0.3470715835141078,-1.0,-0.35,-0.35,db,1.0,0.9360979141282839,0.9882872455929416
SOXL,2020-12-28,30.668666666666663,3.4921830382033336,4.219716567581466,4.709991945581919,0.36519357433209787,-1.0,-0.37,-0.37,db,15.0,0.7414414034145179,0.8959073850518274
AVGO,2022-05-17,59.9,3.2968776460596594,3.35596346544047,3.4863829142885416,0.385642737896485,-1.0,-0.39,-0.39,db,10.0,0.945644161043752,0.9625917599832301
JETS,2021-03-30,26.89,-0.642920260705182,-0.059465028966887434,3.543833020867928,1.450353291186317,-0.28,-0.41,-1.49,db,1.0,-0.18141945653740849,-0.016779861979028494
Z,2020-07-30,67.09,2.472851315421498,6.362908956251423,5.154592357104127,0.47697123267254043,-1.0,-0.48,-0.48,db,1.0,0.47973751251413355,1.2344155493657958
QCLN,2021-11-22,82.62,2.9609697100846377,4.910955004499673,2.841802923186166,0.5083514887436477,-1.0,-0.51,-0.51,db,1.0,1.0419335154898302,1.7281124473591645
JNUG,2021-01-04,132.87,12.485395611734695,17.283595217657076,5.776584607914994,0.5193045834274085,-1.0,-0.52,-0.52,db,1.0,2.1613802028671727,2.992009360336442
PBW,2021-11-22,92.49,-0.526994562969163,1.8046133809001885,3.4861819713214173,0.5189750243269432,-1.0,-0.52,-0.52,db,1.0,-0.1511666824349415,0.5176474996846364
KRE,2021-05-05,69.6,2.175637494284488,3.0996566424903227,2.3129494444178147,0.5172413793103441,-1.0,-0.52,-0.52,db,1.0,0.9406333975588087,1.340131601220764
TAN,2021-10-19,89.08,7.167776342670673,8.747535479334335,2.7170681836710875,0.5276156264032317,-1.0,-0.53,-0.62,db,1.0,2.63805538107113,3.219475879149767
MU,2021-04-01,93.5,7.049220640522891,6.336398342091187,4.76604955090947,0.53475935828877,-1.0,-0.53,-0.53,db,1.0,1.479048961876139,1.329486459258918
ALB,2022-02-09,233.0,7.757624241270844,5.75958565043555,4.579003840177132,0.5407725321888374,-1.0,-0.54,-0.82,db,1.0,1.6941729057319928,1.2578250317022555
SE,2020-04-27,55.1,5.511086263853238,14.16021734752373,5.185372185878364,0.5444646098003707,-1.0,-0.54,-0.54,db,1.0,1.0628140211153811,2.73080057514234
IGV,2020-11-17,64.6,0.5472508006402643,1.0921396981839582,2.364716039810455,1.8328173374613048,-0.29,-0.54,-0.99,db,5.0,0.23142347386628692,0.46184813728057567
KRBN,2022-02-02,54.31,6.169605314929094,5.733476180928876,1.9723067781202641,0.5523844595838782,-1.0,-0.55,-0.75,db,1.0,3.1281164691879866,2.9069900507025834
